osmid,y,x
84729190,29.6448746,-82.3485998
84729194,29.6457235,-82.3485981
84733260,29.6506259,-82.347178
84743127,29.6409816,-82.3695212
84747907,29.6448674,-82.3607879
84747916,29.6429038,-82.3638279
84747972,29.6404348,-82.3570148
84747993,29.6382176,-82.3571457
84748032,29.6376948,-82.3627751
84748054,29.6385003,-82.3637884
84748055,29.6384781,-82.3641848
84752961,29.646898,-82.35031
84752964,29.6472473,-82.3497417
84766707,29.6422619,-82.3666623
84766711,29.643481,-82.366647
84770926,29.6469351,-82.3503667
84770938,29.6464645,-82.3509858
84774419,29.6437379,-82.369615
84774433,29.6443663,-82.3688457
84774443,29.6422517,-82.3683722
84774760,29.6373049,-82.3533813
84774804,29.6388762,-82.3575728
84774807,29.6388746,-82.3582787
84774808,29.6388783,-82.3587029
84774814,29.6382144,-82.3575784
84774816,29.6384686,-82.357562
84774818,29.6386826,-82.3575484
84774819,29.6389828,-82.3575099
84774822,29.6393824,-82.3576404
84790845,29.6518409,-82.3447478
84796203,29.6479351,-82.3486916
84796208,29.6479683,-82.3497373
84796355,29.6468603,-82.3497422
84796384,29.6448248,-82.3425433
84796442,29.6448187,-82.3414143
84796460,29.6434342,-82.3423747
84806022,29.648291,-82.3531526
84806051,29.6452976,-82.3517023
84806052,29.644891,-82.351705
84811004,29.6406018,-82.3636106
84811021,29.638031,-82.3586482
84814772,29.6460357,-82.3554055
84828159,29.6416896,-82.3424609
84828161,29.641363,-82.342738
84833934,29.6501751,-82.3476486
84833936,29.6506396,-82.3462646
84836633,29.6483488,-82.3550727
84836664,29.6486187,-82.3460255
84837892,29.6376037,-82.3693006
84837894,29.6376204,-82.3705924
84853931,29.6409704,-82.3693012
84863802,29.6477055,-82.360142
84863807,29.6477427,-82.3579722
84863993,29.6391699,-82.3504863
84864004,29.6448792,-82.3504042
84869123,29.6475166,-82.3601176
84869333,29.6395886,-82.3461352
84869344,29.6396085,-82.3483632
84873627,29.649118,-82.3603343
84873633,29.6465057,-82.36002
84873639,29.6449542,-82.3600316
84877024,29.6471284,-82.3425055
84877026,29.6473284,-82.3425339
84882467,29.6484927,-82.3557095
84909934,29.6397029,-82.3461195
84909959,29.6448422,-82.3469318
84913037,29.6395943,-82.3706018
84913038,29.639751,-82.3705871
84913050,29.6419106,-82.3716258
84913051,29.6415103,-82.3721371
84913055,29.6398865,-82.3720417
84913056,29.6396043,-82.3719957
84921139,29.6473094,-82.3394988
84921146,29.6475031,-82.3429934
84921148,29.6475218,-82.3435131
84923224,29.6497629,-82.3435131
84929723,29.6449215,-82.3554184
84932375,29.6460401,-82.3446517
84932384,29.6464872,-82.3436906
84942165,29.6448296,-82.3435141
84942176,29.6391715,-82.3641817
582413724,29.6435681,-82.3489436
582413727,29.6437004,-82.3491556
582413736,29.6433885,-82.3491569
582413744,29.6442878,-82.349824
582413751,29.6441181,-82.3491996
582413753,29.6442842,-82.3492027
582413757,29.6443695,-82.3486886
582417508,29.6458966,-82.3484499
582417523,29.6459578,-82.3486334
582711198,29.6464749,-82.3407215
582711202,29.6464938,-82.3414145
582711205,29.6460837,-82.3415878
583406690,29.6475816,-82.3435105
